Dataset,Config,AUPRC,F1,Precision,Recall,ROC_AUC,FPR
ULB,1. LR baseline,0.7245,0.1089,0.0579,0.9184,0.971,0.0258
ULB,2. XGB solo,0.8674,0.7636,0.6885,0.8571,0.9831,0.0007
ULB,3. XGB+RF ensemble,0.8717,0.8155,0.7778,0.8571,0.9817,0.0004
ULB,4. + GA tuning,0.8734,0.8259,0.8058,0.8469,0.9778,0.0004
ULB,5. + FL (full),0.8734,0.8259,0.8058,0.8469,0.9778,0.0004
BAF,1. LR baseline,0.1201,0.0774,0.0408,0.7625,0.8606,0.2001
BAF,2. XGB solo,0.1499,0.1024,0.4108,0.0585,0.8814,0.0009
BAF,3. XGB+RF ensemble,0.1448,0.0802,0.4135,0.0444,0.8774,0.0007
BAF,4. + GA tuning,0.147,0.1256,0.3574,0.0762,0.8843,0.0015
BAF,5. + FL (full),0.1488,0.1253,0.3537,0.0762,0.8842,0.0016
Synthetic,1. LR baseline,0.0364,0.0683,0.0366,0.5068,0.4994,0.4966
Synthetic,2. XGB solo,0.0443,0.0,0.0,0.0,0.5948,0.0
Synthetic,3. XGB+RF ensemble,0.0464,0.0,0.0,0.0,0.6076,0.0
Synthetic,4. + GA tuning,0.0452,0.0,0.0,0.0,0.5993,0.0
Synthetic,5. + FL (full),0.0455,0.0,0.0,0.0,0.5997,0.0
