round,global_auprc,best_client,best_client_auprc,round_time_s,communication_bytes
1,0.355158644782726,ulb,0.8723773434636873,292.17344999313354,1841526769
2,0.3549946086931062,ulb,0.8721519927204755,290.03874707221985,1830129773
3,0.3530546715040472,ulb,0.8669240059891047,289.74163007736206,1842175753
4,0.3551806876408355,ulb,0.8733604576474563,288.0079119205475,1842408813
5,0.35494431609378846,ulb,0.8718984891717536,287.40283012390137,1844496485
6,0.3525749060646654,ulb,0.867207944747157,290.82814288139343,1840260165
7,0.3534154409354309,ulb,0.8680091986402577,287.2234060764313,1839786253
8,0.3554462579186088,ulb,0.8723457106552931,287.6766748428345,1833626781
9,0.3540996744624872,ulb,0.8709633852963743,306.30165004730225,1842203317
10,0.3539398945145042,ulb,0.8698200926179986,300.2651081085205,1837469513
