Client,Category,SumMeanAbsSHAP,ShareWithinClient,NumFeaturesInCategory
BAF,account,1.404194,0.1702,5
BAF,amount,0.141974,0.0172,1
BAF,device,0.664385,0.0805,3
BAF,identity,3.785974,0.4588,9
BAF,merchant,0.322648,0.0391,1
BAF,risk_score,0.185557,0.0225,1
BAF,session,0.452179,0.0548,4
BAF,temporal,0.602114,0.073,2
BAF,velocity,0.692367,0.0839,5
Synthetic,amount,0.174213,0.0451,2
Synthetic,device,0.231188,0.0599,1
Synthetic,location,0.78929,0.2045,2
Synthetic,merchant,1.031571,0.2673,3
Synthetic,temporal,0.765524,0.1984,1
Synthetic,velocity,0.867583,0.2248,1
ULB,amount,0.305332,0.0141,1
ULB,pca_anonymised,20.592327,0.9531,28
ULB,temporal,0.709024,0.0328,1
