Threshold,Precision,Recall,F1,AUPRC,FPR
0.05,0.0663,0.6908,0.1209,0.1488,0.1086
0.1,0.1061,0.5231,0.1764,0.1488,0.0492
0.15,0.1359,0.4062,0.2036,0.1488,0.0288
0.2,0.1651,0.3318,0.2205,0.1488,0.0187
0.25,0.1885,0.2679,0.2213,0.1488,0.0129
0.3,0.2198,0.2212,0.2205,0.1488,0.0088
0.35,0.2479,0.1736,0.2042,0.1488,0.0059
0.4,0.272,0.1301,0.176,0.1488,0.0039
0.45,0.3058,0.0988,0.1494,0.1488,0.0025
0.5,0.3537,0.0762,0.1253,0.1488,0.0016
0.55,0.4019,0.0585,0.1021,0.1488,0.001
0.6,0.4612,0.0431,0.0788,0.1488,0.0006
0.65,0.5038,0.0304,0.0573,0.1488,0.0003
0.7,0.5857,0.0186,0.036,0.1488,0.0001
0.75,0.5476,0.0104,0.0205,0.1488,0.0001
0.8,0.6316,0.0054,0.0108,0.1488,0.0
0.85,0.75,0.0027,0.0054,0.1488,0.0
0.9,1.0,0.0005,0.0009,0.1488,0.0
0.95,0.0,0.0,0.0,0.1488,0.0
